"","Engine.Capacity","Fuel.Type","Co2"
"682",1968,"Diesel",109
"683",1598,"Diesel",106
"684",1598,"Diesel",103
"685",1598,"Diesel",103
"686",1598,"Diesel",109
"687",1598,"Diesel",106
"688",1598,"Diesel",106
"689",1598,"Diesel",106
"690",1598,"Diesel",106
"691",1598,"Diesel",106
"692",1598,"Diesel",106
"693",1598,"Diesel",110
"694",1598,"Diesel",110
"695",1968,"Diesel",109
"696",1968,"Diesel",107
"697",1968,"Diesel",107
"698",1598,"Diesel",107
"699",1598,"Diesel",104
"700",1598,"Diesel",104
"701",1598,"Diesel",110
"702",1598,"Diesel",107
"703",1598,"Diesel",107
"704",1968,"Diesel",110
"705",1968,"Diesel",110
"706",1598,"Diesel",107
"707",1598,"Diesel",104
"708",1598,"Diesel",104
"709",1598,"Diesel",109
"710",1598,"Diesel",104
"711",1598,"Diesel",104
"712",1968,"Diesel",109
"713",1968,"Diesel",109
"714",1968,"Diesel",109
"715",1968,"Diesel",109
"716",1968,"Diesel",109
"717",1968,"Diesel",109
"718",1968,"Diesel",109
"719",1968,"Diesel",109
"720",1968,"Diesel",109
"721",1969,"Diesel",110
"722",1969,"Diesel",102
"723",1969,"Diesel",110
"724",1969,"Diesel",102
"725",1969,"Diesel",102
"726",1969,"Diesel",105
"727",1969,"Diesel",102
"728",1969,"Diesel",105
"729",1969,"Diesel",102
"730",1969,"Diesel",102
"731",1969,"Diesel",101
"732",1969,"Diesel",101
"733",1969,"Diesel",104
"734",1969,"Diesel",105
"735",1969,"Diesel",109
"736",1969,"Diesel",104
"737",1969,"Diesel",104
"738",1969,"Diesel",104
"739",1969,"Diesel",101
"740",1969,"Diesel",108
"741",1969,"Diesel",102
"742",1969,"Diesel",110
"743",1969,"Diesel",104
"744",1969,"Diesel",101
"745",1498,"Diesel",108
"746",1969,"Diesel",102
"747",1969,"Diesel",108
"748",1969,"Diesel",109
"749",1969,"Diesel",104
"750",1969,"Diesel",101
"751",1969,"Diesel",105
"752",1969,"Diesel",104
"753",1969,"Diesel",104
"754",1969,"Diesel",108
"755",1969,"Diesel",104
"756",1969,"Diesel",108
"757",1969,"Diesel",104
"758",1956,"Diesel",113
"759",1598,"Diesel",113
"760",1598,"Diesel",114
"761",1968,"Diesel",113
"762",1968,"Diesel",114
"763",1968,"Diesel",117
"764",1968,"Diesel",120
"765",1968,"Diesel",123
"766",1968,"Diesel",124
"767",1968,"Diesel",127
